timestamp,raw,avg,hp,zero_cross
2025-07-31T18:20:34.828327,46733,1495614,-4,0
2025-07-31T18:20:34.839646,46757,1495634,19,1
2025-07-31T18:20:34.851327,46737,1495633,-1,0
2025-07-31T18:20:34.863269,46762,1495657,23,0
2025-07-31T18:20:34.874743,46733,1495651,-6,0
2025-07-31T18:20:34.886143,46765,1495677,26,0
2025-07-31T18:20:34.897616,46724,1495662,-15,0
2025-07-31T18:20:34.908827,46739,1495662,0,1
2025-07-31T18:20:34.920107,46726,1495649,-13,0
2025-07-31T18:20:34.931304,46746,1495656,7,0
2025-07-31T18:20:34.942621,46736,1495653,-3,0
2025-07-31T18:20:34.954148,46748,1495662,9,0
2025-07-31T18:20:34.965613,46715,1495638,-23,0
2025-07-31T18:20:34.977078,46753,1495653,14,1
2025-07-31T18:20:34.988814,46752,1495666,13,0
2025-07-31T18:20:35.018186,46743,1495670,4,0
2025-07-31T18:20:35.043816,46741,1495672,2,0
2025-07-31T18:20:35.044994,46745,1495678,6,0
2025-07-31T18:20:35.046113,46737,1495676,-2,0
2025-07-31T18:20:35.058123,46761,1495698,21,1
2025-07-31T18:20:35.071642,46716,1495674,-23,0
2025-07-31T18:20:35.084563,46737,1495672,-2,0
2025-07-31T18:20:35.097566,46768,1495701,28,0
2025-07-31T18:20:35.110315,46746,1495707,6,0
2025-07-31T18:20:35.122053,46752,1495719,11,0
2025-07-31T18:20:35.133561,46717,1495695,-23,0
2025-07-31T18:20:35.144745,46734,1495689,-6,0
2025-07-31T18:20:35.156416,46742,1495691,2,1
2025-07-31T18:20:35.168008,46742,1495693,2,0
2025-07-31T18:20:35.179844,46762,1495715,21,0
2025-07-31T18:20:35.191596,46727,1495701,-13,0
2025-07-31T18:20:35.203116,46739,1495700,-1,0
2025-07-31T18:20:35.214876,46725,1495685,-15,0
2025-07-31T18:20:35.226946,46743,1495688,3,1
2025-07-31T18:20:35.238756,46755,1495703,15,0
2025-07-31T18:20:35.250413,46716,1495679,-23,0
2025-07-31T18:20:35.262259,46733,1495673,-6,0
2025-07-31T18:20:35.274436,46725,1495659,-14,0
2025-07-31T18:20:35.286085,46725,1495645,-13,0
2025-07-31T18:20:35.297763,46758,1495665,19,1
2025-07-31T18:20:35.309599,46749,1495675,10,0
2025-07-31T18:20:35.321299,46729,1495665,-10,0
2025-07-31T18:20:35.332865,46744,1495670,5,0
2025-07-31T18:20:35.344470,46737,1495668,-2,0
2025-07-31T18:20:35.357159,46739,1495668,0,1
2025-07-31T18:20:35.371444,46746,1495675,7,0
2025-07-31T18:20:35.383049,46725,1495661,-14,0
2025-07-31T18:20:35.412193,46734,1495656,-5,0
2025-07-31T18:20:35.436725,46727,1495644,-11,0
2025-07-31T18:20:35.438007,46757,1495663,18,1
2025-07-31T18:20:35.439151,46738,1495662,-1,0
2025-07-31T18:20:35.448616,46727,1495650,-12,0
2025-07-31T18:20:35.460556,46763,1495674,24,0
2025-07-31T18:20:35.472203,46791,1495726,50,0
2025-07-31T18:20:35.484097,46758,1495743,17,0
2025-07-31T18:20:35.495637,46764,1495766,22,0
2025-07-31T18:20:35.507487,46720,1495744,-22,0
2025-07-31T18:20:35.519039,46737,1495739,-4,0
2025-07-31T18:20:35.530452,46748,1495746,6,1
2025-07-31T18:20:35.542165,46726,1495730,-15,0
2025-07-31T18:20:35.554055,46748,1495737,7,0
2025-07-31T18:20:35.565507,46757,1495753,15,0
2025-07-31T18:20:35.577048,46766,1495777,23,0
2025-07-31T18:20:35.588612,46768,1495802,25,0
2025-07-31T18:20:35.600429,46765,1495824,21,0
2025-07-31T18:20:35.611477,46765,1495845,20,0
2025-07-31T18:20:35.622796,46745,1495845,0,0
2025-07-31T18:20:35.634015,46748,1495848,3,0
2025-07-31T18:20:35.645767,46768,1495871,23,0
2025-07-31T18:20:35.657836,46744,1495870,-1,0
2025-07-31T18:20:35.669075,46774,1495899,28,1
2025-07-31T18:20:35.680250,46776,1495929,29,0
2025-07-31T18:20:35.691514,46773,1495955,25,0
2025-07-31T18:20:35.702699,46749,1495956,1,0
2025-07-31T18:20:35.714722,46778,1495986,29,0
2025-07-31T18:20:35.726193,46746,1495983,-3,0
2025-07-31T18:20:35.737657,46778,1496012,28,1
2025-07-31T18:20:35.749042,46744,1496006,-6,0
2025-07-31T18:20:35.760189,46759,1496015,9,0
2025-07-31T18:20:35.791120,46783,1496048,32,0
2025-07-31T18:20:35.815100,46758,1496055,7,0
2025-07-31T18:20:35.816375,46785,1496089,33,0
2025-07-31T18:20:35.817522,46784,1496121,31,0
2025-07-31T18:20:35.826476,46753,1496121,0,0
2025-07-31T18:20:35.838442,46763,1496131,9,0
2025-07-31T18:20:35.850433,46780,1496157,26,0
2025-07-31T18:20:35.862409,46770,1496173,15,0
2025-07-31T18:20:35.874063,46798,1496216,42,0
2025-07-31T18:20:35.885868,46764,1496224,7,0
2025-07-31T18:20:35.897427,46804,1496271,46,0
2025-07-31T18:20:35.908861,46787,1496300,28,0
2025-07-31T18:20:35.920599,46803,1496344,43,0
2025-07-31T18:20:35.932191,46813,1496397,51,0
2025-07-31T18:20:35.943759,46867,1496502,102,0
2025-07-31T18:20:35.955414,46874,1496611,105,0
2025-07-31T18:20:35.967026,46885,1496727,113,0
2025-07-31T18:20:35.978582,47024,1496979,244,0
2025-07-31T18:20:35.990037,47064,1497263,275,0
2025-07-31T18:20:36.001663,47211,1497685,409,0
2025-07-31T18:20:36.013222,47249,1498132,433,0
2025-07-31T18:20:36.024777,47249,1498565,419,0
2025-07-31T18:20:36.037454,47225,1498960,383,0
2025-07-31T18:20:36.049483,47204,1499322,351,0
2025-07-31T18:20:36.061088,47232,1499701,367,0
2025-07-31T18:20:36.072680,47242,1500078,365,0
2025-07-31T18:20:36.085081,47261,1500462,372,0
2025-07-31T18:20:36.097181,47226,1500799,327,0
2025-07-31T18:20:36.108872,47185,1501085,277,0
2025-07-31T18:20:36.120856,47227,1501404,309,0
2025-07-31T18:20:36.132409,47200,1501686,273,0
2025-07-31T18:20:36.144029,47198,1501957,262,0
2025-07-31T18:20:36.173790,47201,1502222,257,0
2025-07-31T18:20:36.197985,47200,1502478,248,0
2025-07-31T18:20:36.199185,47210,1502736,250,0
2025-07-31T18:20:36.200317,47197,1502973,230,0
2025-07-31T18:20:36.208751,47226,1503232,250,0
2025-07-31T18:20:36.220785,47226,1503482,243,0
2025-07-31T18:20:36.232493,47236,1503735,245,0
2025-07-31T18:20:36.244124,47212,1503956,214,0
2025-07-31T18:20:36.255868,47225,1504183,220,0
2025-07-31T18:20:36.267814,47223,1504401,211,0
2025-07-31T18:20:36.279861,47217,1504606,199,0
2025-07-31T18:20:36.290972,47198,1504786,174,0
2025-07-31T18:20:36.302054,47199,1504961,169,0
2025-07-31T18:20:36.313426,47237,1505168,201,0
2025-07-31T18:20:36.324967,47186,1505318,145,0
2025-07-31T18:20:36.336493,47203,1505480,157,0
2025-07-31T18:20:36.348048,47201,1505635,150,0
2025-07-31T18:20:36.359846,47232,1505816,176,0
2025-07-31T18:20:36.371958,47227,1505987,165,0
2025-07-31T18:20:36.383869,47229,1506154,162,0
2025-07-31T18:20:36.395685,47251,1506338,178,0
2025-07-31T18:20:36.407403,47212,1506477,135,0
2025-07-31T18:20:36.419331,47253,1506653,171,0
2025-07-31T18:20:36.431011,47237,1506808,150,0
2025-07-31T18:20:36.442406,47245,1506966,153,0
2025-07-31T18:20:36.453801,47237,1507111,140,0
2025-07-31T18:20:36.464983,47209,1507223,109,0
2025-07-31T18:20:36.476053,47257,1507380,152,0
2025-07-31T18:20:36.487187,47233,1507508,124,0
2025-07-31T18:20:36.498618,47243,1507642,130,0
2025-07-31T18:20:36.509656,47218,1507747,101,0
2025-07-31T18:20:36.521265,47206,1507836,87,0
2025-07-31T18:20:36.547953,47254,1507971,130,0
2025-07-31T18:20:36.573915,47256,1508103,128,0
2025-07-31T18:20:36.575106,47306,1508281,173,0
2025-07-31T18:20:36.577449,47302,1508450,163,0
2025-07-31T18:20:36.587241,47253,1508564,111,0
2025-07-31T18:20:36.598831,47298,1508720,151,0
2025-07-31T18:20:36.610241,47416,1508989,261,0
2025-07-31T18:20:36.621448,47578,1509412,409,0
2025-07-31T18:20:36.632738,47413,1509656,237,0
2025-07-31T18:20:36.643992,47386,1509866,203,0
2025-07-31T18:20:36.655286,47344,1510027,156,0
2025-07-31T18:20:36.666406,47299,1510138,108,0
2025-07-31T18:20:36.677718,47318,1510265,123,0
2025-07-31T18:20:36.688891,47311,1510381,112,0
2025-07-31T18:20:36.699841,47295,1510477,93,0
2025-07-31T18:20:36.710648,47310,1510585,105,0
2025-07-31T18:20:36.721542,47353,1510733,143,0
2025-07-31T18:20:36.732363,47356,1510879,142,0
2025-07-31T18:20:36.743482,47325,1510990,107,0
2025-07-31T18:20:36.754418,47336,1511108,114,0
2025-07-31T18:20:36.765684,47269,1511155,46,0
2025-07-31T18:20:36.777156,47291,1511223,66,0
2025-07-31T18:20:36.788199,47295,1511293,68,0
2025-07-31T18:20:36.798825,47293,1511359,64,0
2025-07-31T18:20:36.809551,47285,1511415,54,0
2025-07-31T18:20:36.820448,47341,1511525,106,0
2025-07-31T18:20:36.831786,47368,1511658,129,0
2025-07-31T18:20:36.843610,47380,1511799,137,0
2025-07-31T18:20:36.854416,47419,1511975,170,0
2025-07-31T18:20:36.865228,47382,1512108,129,0
2025-07-31T18:20:36.876265,47377,1512232,120,0
2025-07-31T18:20:36.887043,47380,1512355,119,0
2025-07-31T18:20:36.916368,47436,1512530,170,0
2025-07-31T18:20:36.936206,47367,1512631,98,0
2025-07-31T18:20:36.937442,47385,1512747,112,0
2025-07-31T18:20:36.939793,47388,1512862,112,0
2025-07-31T18:20:36.949444,47368,1512954,89,0
2025-07-31T18:20:36.960558,47385,1513060,102,0
2025-07-31T18:20:36.971386,47377,1513154,91,0
2025-07-31T18:20:36.982314,47378,1513246,90,0
2025-07-31T18:20:36.993388,47395,1513353,103,0
2025-07-31T18:20:37.004054,47411,1513472,115,0
2025-07-31T18:20:37.015142,47428,1513604,128,0
2025-07-31T18:20:37.026208,47372,1513676,70,0
2025-07-31T18:20:37.038488,47371,1513745,67,0
2025-07-31T18:20:37.049394,47347,1513788,42,0
2025-07-31T18:20:37.060183,47371,1513854,64,0
2025-07-31T18:20:37.071098,47345,1513892,36,0
2025-07-31T18:20:37.081913,47397,1513980,86,0
2025-07-31T18:20:37.092752,47408,1514077,94,0
2025-07-31T18:20:37.103499,47384,1514147,67,0
2025-07-31T18:20:37.114401,47410,1514240,90,0
2025-07-31T18:20:37.124999,47401,1514321,79,0
2025-07-31T18:20:37.135679,47376,1514375,52,0
2025-07-31T18:20:37.146398,47359,1514410,34,0
2025-07-31T18:20:37.156749,47360,1514445,34,0
2025-07-31T18:20:37.166931,47330,1514449,4,0
2025-07-31T18:20:37.177872,47346,1514469,19,0
2025-07-31T18:20:37.188389,47322,1514464,-5,0
2025-07-31T18:20:37.198764,47342,1514479,15,1
2025-07-31T18:20:37.209422,47318,1514470,-9,0
2025-07-31T18:20:37.219776,47332,1514475,5,0
2025-07-31T18:20:37.230241,47328,1514476,1,0
2025-07-31T18:20:37.240870,47337,1514486,10,0
2025-07-31T18:20:37.269089,47345,1514504,17,0
2025-07-31T18:20:37.293824,47341,1514517,13,0
2025-07-31T18:20:37.295100,47320,1514509,-8,0
2025-07-31T18:20:37.296266,47321,1514502,-7,0
2025-07-31T18:20:37.304933,47330,1514504,2,1
2025-07-31T18:20:37.315961,47333,1514509,5,0
2025-07-31T18:20:37.326526,47345,1514526,17,0
2025-07-31T18:20:37.337387,47405,1514603,74,0
2025-07-31T18:20:37.348032,47398,1514670,65,0
2025-07-31T18:20:37.358897,47460,1514797,123,0
2025-07-31T18:20:37.369642,47451,1514911,111,0
2025-07-31T18:20:37.380878,47466,1515037,122,0
2025-07-31T18:20:37.392657,47480,1515173,131,0
2025-07-31T18:20:37.403652,47478,1515302,125,0
2025-07-31T18:20:37.414485,47454,1515403,98,0
2025-07-31T18:20:37.425296,47409,1515456,51,0
2025-07-31T18:20:37.436014,47432,1515530,72,0
2025-07-31T18:20:37.446872,47392,1515562,31,0
2025-07-31T18:20:37.457994,47382,1515583,21,0
2025-07-31T18:20:37.468645,47377,1515599,15,0
2025-07-31T18:20:37.479137,47423,1515660,59,0
2025-07-31T18:20:37.489927,47422,1515718,56,0
2025-07-31T18:20:37.500674,47490,1515842,120,0
2025-07-31T18:20:37.511505,47504,1515976,130,0
2025-07-31T18:20:37.521960,47531,1516133,152,0
2025-07-31T18:20:37.532517,47561,1516315,177,0
2025-07-31T18:20:37.543014,47550,1516481,160,0
2025-07-31T18:20:37.553554,47583,1516674,187,0
2025-07-31T18:20:37.564430,47592,1516870,190,0
2025-07-31T18:20:37.575124,47584,1517052,177,0
2025-07-31T18:20:37.586017,47510,1517155,99,0
2025-07-31T18:20:37.596796,47525,1517269,111,0
2025-07-31T18:20:37.625030,47509,1517364,92,0
2025-07-31T18:20:37.645126,47511,1517458,91,0
2025-07-31T18:20:37.646350,47507,1517545,84,0
2025-07-31T18:20:37.647531,47485,1517607,60,0
2025-07-31T18:20:37.657673,47496,1517678,69,0
2025-07-31T18:20:37.668573,47506,1517757,77,0
2025-07-31T18:20:37.679157,47514,1517842,82,0
2025-07-31T18:20:37.689584,47477,1517887,44,0
2025-07-31T18:20:37.700027,47457,1517911,23,0
2025-07-31T18:20:37.710749,47420,1517897,-14,0
2025-07-31T18:20:37.721389,47424,1517887,-9,0
2025-07-31T18:20:37.731969,47371,1517825,-61,0
2025-07-31T18:20:37.742538,47392,1517785,-38,0
2025-07-31T18:20:37.753222,47356,1517711,-72,0
2025-07-31T18:20:37.763689,47326,1517609,-99,0
2025-07-31T18:20:37.775061,47291,1517475,-130,0
2025-07-31T18:20:37.786804,47225,1517279,-189,0
2025-07-31T18:20:37.797954,47208,1517073,-200,0
2025-07-31T18:20:37.809297,47220,1516885,-182,0
2025-07-31T18:20:37.820402,47211,1516694,-185,0
2025-07-31T18:20:37.831313,47219,1516517,-172,0
2025-07-31T18:20:37.842958,47237,1516363,-149,0
2025-07-31T18:20:37.854105,47234,1516211,-147,0
2025-07-31T18:20:37.865079,47231,1516061,-145,0
2025-07-31T18:20:37.876285,47266,1515951,-107,0
2025-07-31T18:20:37.887050,47246,1515824,-123,0
2025-07-31T18:20:37.897291,47276,1515731,-90,0
2025-07-31T18:20:37.908262,47256,1515621,-107,0
2025-07-31T18:20:37.918886,47266,1515524,-94,0
2025-07-31T18:20:37.929633,47257,1515421,-99,0
2025-07-31T18:20:37.940383,47284,1515349,-70,0
2025-07-31T18:20:37.951051,47300,1515295,-52,0
2025-07-31T18:20:37.979599,47280,1515223,-70,0
2025-07-31T18:20:38.022009,47336,1515209,-14,0
2025-07-31T18:20:38.023361,47348,1515207,-2,0
2025-07-31T18:20:38.024574,47419,1515276,67,1
2025-07-31T18:20:38.025784,47445,1515369,90,0
2025-07-31T18:20:38.028432,47446,1515460,88,0
2025-07-31T18:20:38.040244,47511,1515613,149,0
2025-07-31T18:20:38.051163,47498,1515749,131,0
2025-07-31T18:20:38.061906,47519,1515901,148,0
2025-07-31T18:20:38.072585,47536,1516066,159,0
2025-07-31T18:20:38.083254,47525,1516214,144,0
2025-07-31T18:20:38.095249,47526,1516359,140,0
2025-07-31T18:20:38.106113,47513,1516486,123,0
2025-07-31T18:20:38.116867,47528,1516624,134,0
2025-07-31T18:20:38.127820,47555,1516785,156,0
2025-07-31T18:20:38.138195,47570,1516956,166,0
2025-07-31T18:20:38.148452,47559,1517111,150,0
2025-07-31T18:20:38.159012,47610,1517312,194,0
2025-07-31T18:20:38.169786,47605,1517501,184,0
2025-07-31T18:20:38.180949,47624,1517704,196,0
2025-07-31T18:20:38.191303,47571,1517847,139,0
2025-07-31T18:20:38.201842,47617,1518032,179,0
2025-07-31T18:20:38.212300,47615,1518209,171,0
2025-07-31T18:20:38.222826,47644,1518409,194,0
2025-07-31T18:20:38.233424,47635,1518594,179,0
2025-07-31T18:20:38.243779,47662,1518800,200,0
2025-07-31T18:20:38.254440,47679,1519017,210,0
2025-07-31T18:20:38.264866,47666,1519214,191,0
2025-07-31T18:20:38.275558,47675,1519414,194,0
2025-07-31T18:20:38.285924,47669,1519602,182,0
2025-07-31T18:20:38.297584,47697,1519812,203,0
2025-07-31T18:20:38.308120,47715,1520033,214,0
2025-07-31T18:20:38.336103,47756,1520288,247,0
2025-07-31T18:20:38.355037,47747,1520526,231,0
2025-07-31T18:20:38.356287,47757,1520767,234,0
2025-07-31T18:20:38.357520,47756,1521000,225,0
2025-07-31T18:20:38.368135,47767,1521236,229,0
2025-07-31T18:20:38.379029,47769,1521467,224,0
2025-07-31T18:20:38.389819,47784,1521706,231,0
2025-07-31T18:20:38.400711,47806,1521959,245,0
2025-07-31T18:20:38.412034,47789,1522187,221,0
2025-07-31T18:20:38.423043,47808,1522427,233,0
2025-07-31T18:20:38.433415,47826,1522678,243,0
2025-07-31T18:20:38.444062,47820,1522915,229,0
2025-07-31T18:20:38.454689,47821,1523145,223,0
2025-07-31T18:20:38.465375,47833,1523380,228,0
2025-07-31T18:20:38.475766,47874,1523649,260,0
2025-07-31T18:20:38.486306,47880,1523915,258,0
2025-07-31T18:20:38.496769,47876,1524169,246,0
2025-07-31T18:20:38.507095,47882,1524421,244,0
2025-07-31T18:20:38.517671,47909,1524692,263,0
2025-07-31T18:20:38.528718,47918,1524964,263,0
2025-07-31T18:20:38.539519,47960,1525269,296,0
2025-07-31T18:20:38.550164,47963,1525568,289,0
2025-07-31T18:20:38.561058,48006,1525900,322,0
2025-07-31T18:20:38.571886,48043,1526259,348,0
2025-07-31T18:20:38.582553,48133,1526697,424,0
2025-07-31T18:20:38.593383,48148,1527136,425,0
2025-07-31T18:20:38.604045,48087,1527500,353,0
2025-07-31T18:20:38.614731,48071,1527837,327,0
2025-07-31T18:20:38.625690,48024,1528117,271,0
2025-07-31T18:20:38.636260,47992,1528356,231,0
2025-07-31T18:20:38.647076,47971,1528566,204,0
2025-07-31T18:20:38.658112,47968,1528767,195,0
2025-07-31T18:20:38.685812,47889,1528883,112,0
2025-07-31T18:20:38.707889,47928,1529034,146,0
2025-07-31T18:20:38.709087,47907,1529159,121,0
2025-07-31T18:20:38.710219,47869,1529242,81,0
2025-07-31T18:20:38.720100,47877,1529331,86,0
2025-07-31T18:20:38.731376,47843,1529383,50,0
2025-07-31T18:20:38.742153,47831,1529421,37,0
2025-07-31T18:20:38.752786,47878,1529505,81,0
2025-07-31T18:20:38.763420,47875,1529583,76,0
2025-07-31T18:20:38.773858,47863,1529647,62,0
2025-07-31T18:20:38.784259,47898,1529744,94,0
2025-07-31T18:20:38.794802,47952,1529892,143,0
2025-07-31T18:20:38.805218,47969,1530052,155,0
2025-07-31T18:20:38.816144,48033,1530271,213,0
2025-07-31T18:20:38.826805,48074,1530525,246,0
2025-07-31T18:20:38.837380,48129,1530826,291,0
2025-07-31T18:20:38.848088,48146,1531134,299,0
2025-07-31T18:20:38.858645,48171,1531458,313,0
2025-07-31T18:20:38.869129,48137,1531737,271,0
2025-07-31T18:20:38.879603,48125,1531996,251,0
2025-07-31T18:20:38.890046,48073,1532195,192,0
2025-07-31T18:20:38.900715,48051,1532365,165,0
2025-07-31T18:20:38.911190,47919,1532398,32,0
2025-07-31T18:20:38.922388,47768,1532279,-115,0
2025-07-31T18:20:38.933181,47577,1531973,-297,0
2025-07-31T18:20:38.944086,47366,1531465,-492,0
2025-07-31T18:20:38.955116,47278,1530885,-562,0
2025-07-31T18:20:38.965909,47177,1530222,-642,0
2025-07-31T18:20:38.976975,47204,1529607,-596,0
2025-07-31T18:20:38.987757,47158,1528965,-622,0
2025-07-31T18:20:38.998535,47138,1528323,-622,0
2025-07-31T18:20:39.009384,47061,1527624,-677,0
2025-07-31T18:20:39.040473,47104,1526990,-614,0
2025-07-31T18:20:39.062828,47079,1526351,-619,0
2025-07-31T18:20:39.064050,47107,1525760,-573,0
2025-07-31T18:20:39.065200,47204,1525284,-461,0
2025-07-31T18:20:39.074286,47276,1524895,-376,0
2025-07-31T18:20:39.085671,47500,1524743,-148,0
2025-07-31T18:20:39.096181,47706,1524801,56,1
2025-07-31T18:20:39.106384,47830,1524981,175,0
2025-07-31T18:20:39.117462,47949,1525275,285,0
2025-07-31T18:20:39.127910,47956,1525567,283,0
2025-07-31T18:20:39.138092,47966,1525860,283,0
2025-07-31T18:20:39.148180,47974,1526151,282,0
2025-07-31T18:20:39.158579,47968,1526427,268,0
2025-07-31T18:20:39.169095,47961,1526688,252,0
2025-07-31T18:20:39.179198,47982,1526961,265,0
2025-07-31T18:20:39.189171,47930,1527174,206,0
2025-07-31T18:20:39.199171,47912,1527362,182,0
2025-07-31T18:20:39.209491,47843,1527475,110,0
2025-07-31T18:20:39.220769,47869,1527611,132,0
2025-07-31T18:20:39.231214,47825,1527699,85,0
2025-07-31T18:20:39.241484,47789,1527748,47,0
2025-07-31T18:20:39.251638,47758,1527764,16,0
2025-07-31T18:20:39.261988,47759,1527781,16,0
2025-07-31T18:20:39.272498,47775,1527813,31,0
2025-07-31T18:20:39.283329,47830,1527899,84,0
2025-07-31T18:20:39.294220,47853,1528006,103,0
2025-07-31T18:20:39.304596,47832,1528088,80,0
2025-07-31T18:20:39.314551,47862,1528198,106,0
